pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,id
355,3,l houmeau,,4,25/08/2020,False,34859421
761,5,sainte marie de re,,,25/08/2020,False,36513210
622,4,sainte marie de re,,,25/08/2020,False,25654302
617,5,la rochelle,,,25/08/2020,False,25997381
510,4,l houmeau,,,25/08/2020,False,29237359
355,3,l houmeau,,4,25/08/2020,False,34859421
550,4,,,3,25/08/2020,False,35180336
581,4,la rochelle,,3,25/08/2020,False,17679050
"1,121",6,sainte marie de re,,7,25/08/2020,False,34239481
"1,093",5,nieul sur mer,,3,25/08/2020,False,20351991
502,6,rivedoux plage,,3,25/08/2020,False,4945576
433,5,sainte marie de re,,3,25/08/2020,False,26373652
619,3,la flotte,,,25/08/2020,False,13561680
719,4,lagord,,,25/08/2020,False,32510158
838,5,,,3,25/08/2020,False,1049817
577,4,la rochelle,,,25/08/2020,False,31688375
656,3,le bois plage en re,,,25/08/2020,False,39211506
908,6,la couarde sur mer,,3,25/08/2020,False,40408890
480,5,rivedoux plage,,,25/08/2020,False,16172560
819,4,le bois plage en re,,5,25/08/2020,False,7126485
639,4,le bois plage en re,,4,25/08/2020,False,16119700
301,4,,,,01/09/2020,False,25288920
410,5,le bois plage en re,,5,01/09/2020,False,36853426
476,4,saint martin de re,,4,01/09/2020,False,34822614
199,3,sainte marie de re,,1,01/09/2020,False,18204197
582,4,saint martin de re,,,01/09/2020,False,12749062
395,4,rivedoux plage,,,01/09/2020,False,30524192
107,2,la flotte,,1,01/09/2020,False,31802574
430,4,le bois plage en re,,3,01/09/2020,False,33127310
599,5,saint martin de re,,5,01/09/2020,False,39050748
382,4,saint martin de re,,3,01/09/2020,False,42292241
485,4,la flotte,,3,01/09/2020,False,13664992
258,3,la couarde sur mer,,,01/09/2020,False,33822917
246,3,sainte marie de re,,,01/09/2020,False,29877465
357,5,sainte marie de re,,,01/09/2020,False,19685590
361,4,,,3,01/09/2020,False,26582603
638,5,la flotte,,4,01/09/2020,False,38939476
321,5,sainte marie de re,,3,01/09/2020,False,15000319
236,4,la rochelle,,1,01/09/2020,False,34895735
527,5,sainte marie de re,,3,01/09/2020,False,42172687
621,4,sainte marie de re,,5,01/09/2020,False,32785452
621,4,sainte marie de re,,5,01/09/2020,False,32785452
356,3,la couarde sur mer,,,01/09/2020,False,18991672
351,4,la flotte,,3,01/09/2020,False,36855003
562,5,la flotte,,4,01/09/2020,False,26211665
528,4,l houmeau,,5,01/09/2020,False,42241508
355,3,sainte marie de re,,,01/09/2020,False,17179410
355,4,nieul sur mer,,,01/09/2020,False,26432823
247,3,,,3,01/09/2020,False,5302915
328,4,la rochelle,,3,01/09/2020,False,34712442
335,4,rivedoux plage,,3,01/09/2020,False,42709937
294,4,,,,01/09/2020,False,40391657
735,4,sainte marie de re,,5,01/09/2020,False,1211378
503,0,sainte marie de re,,3,01/09/2020,False,42164842
272,2,,,,01/09/2020,False,3278118
162,3,la couarde sur mer,,1,01/09/2020,False,18485059
429,3,le bois plage en re,,,01/09/2020,False,15844141
463,4,sainte marie de re,,,01/09/2020,False,3077929
406,4,la flotte,,3,01/09/2020,False,41956735
331,4,l houmeau,,,01/09/2020,False,13964266
371,5,sainte marie de re,,5,01/09/2020,False,28240132
"1,170",7,sainte marie de re,,6,01/09/2020,False,40301127
601,6,rivedoux plage,,4,01/09/2020,False,6235071
298,3,rivedoux plage,,,01/09/2020,False,12256043
463,4,sainte marie de re,,,01/09/2020,False,3077929
503,0,sainte marie de re,,3,01/09/2020,False,42164842
326,4,sainte marie de re,,,01/09/2020,False,6442596
435,3,rivedoux plage,,3,01/09/2020,False,13812715
666,5,la couarde sur mer,,5,01/09/2020,False,17337437
301,3,sainte marie de re,,3,01/09/2020,False,28533702
288,3,sainte marie de re,,,01/09/2020,False,41898522
745,6,le bois plage en re,,5,01/09/2020,False,33769499
278,5,loix,,,01/09/2020,False,8725810
428,3,loix,,,01/09/2020,False,23892072
328,5,loix,,5,01/09/2020,False,16119699
234,3,rivedoux plage,,1,01/09/2020,False,41807117
234,3,rivedoux plage,,1,01/09/2020,False,42885442
234,3,rivedoux plage,,1,01/09/2020,False,42725522
438,4,loix,,3,01/09/2020,False,3007671
527,5,sainte marie de re,,,01/09/2020,False,36513210
234,3,rivedoux plage,,1,01/09/2020,False,42216319
288,3,sainte marie de re,,,01/09/2020,False,41898522
745,6,le bois plage en re,,5,01/09/2020,False,33769499
403,4,nieul sur mer,,3,01/09/2020,False,20423674
764,5,la rochelle,,4,01/09/2020,False,27774687
428,3,loix,,,01/09/2020,False,23892072
278,5,loix,,,01/09/2020,False,8725810
415,5,nieul sur mer,,3,01/09/2020,False,20351991
